;;Название категории в 1-с;База 1
;RU PUR DENTALIFE Single;;
12364515;12308784;DOG CHOW PUPPY Lamb 4x2.5kg N1 RU;587,41
12308766;12364514;DOGCHOWд/щенкрупн/порИндейка 2.5кг (4) nN1RU;587,41
;12400596;DOGCHOW SENS Smn4x2.5kgPR500gFree19RU;469,93
;12400630;DOGCHOW PPYLRBDTrky4x2.5kgPR500gFr19RU;469,93
;12400599;DOGCHOW PPY Lmb 4x2.5kgPR500gFree19RU;469,93
;12400598;DOGCHOW ADT Lmb 4x2.5kgPR500gFree19RU;426,14
;12400597;DOGCHOW ADLLRBDTrky4x2.5kgPR500gFr19RU;469,93
;RU PUR Dog Chow 800g;;0,00
;12365140;DOG CHOW д/взр соб мелк/пор Кур 8x800gRU;206,80
;12379169;DOG CHOW ADULT Lamb 8x800g N1 RU;179,81
;12276248;DOG CHOW д/зрел взр соб Ягненок 8х800гRU;179,81
;12365139;DOG CHOW д/чувст собак лосось 8х800г RU;206,80
12275159;12365138;DOG CHOW д/щен мелк/пор Кур 8x800gN1RU;206,80
12379168;12379168;DOG CHOW PUPPY Д/Щенков Ягненок 800гр (8);206,80
;PRO PLAN;;0,00
;RU PUR Pro Plan Dog паучи 100g;;0,00
;12384239;PRO PLAN Dog взрослые говядина 24x100гRU;53,28
;12384240;PRO PLAN Dog взрослые курица 24x100г RU;53,28
;12384238;PRO PLAN Dog взрослые утка 24x100гRU;53,28
;12384356;PRO PLAN Dog контрольвесакурица24x100гRU;53,28
;12384355;PRO PLAN Dog чув/пищ лосось 24x100гRU;53,28
;RU PUR Pro Plan Dry Dog GrainFr 12кг;;0,00
;12399415;PPD СрВзрП ЧувПищ Инд GrainFr 12кг;4095,47
;RU PUR Pro Plan Dry Dog GrainFr 7кг;;0,00
;12399413;PPD Взр СредП ЧувПищ Инд GrainFrеe 7кг;2722,90
;12399414;PPD МалП ЧувПищ Инд GrainFree 7кг;2722,90
;RU PUR Pro Plan Dry Dog GrainFr  2.5kg;;0,00
;12384816;PPD ВзрСрП ЧувПищ Инд GrainFree 4х2.5кг;1241,85
;12384758;PPD МалП ЧувПищ Инд GrainFree 4х2.5кг;1241,85
;RU PUR Pro Plan Dry Dog GrainFr  700gr;;0,00
;12384752;PPD ВзрМалП ЧувПищ Инд GrainFree 4x700г;408,08
;RU PUR Pro Plan Dry Dog 12 - 16.5 kg;;0,00
12272431;12367290;PRO PLAN DOG Щен/КрПМощТел Курица 12кг;4030,29
12366971;12272432;PRO PLAN д/щен кр пор спор кур&ри 12кгXE;4030,29
12367294;12272434;PRO PLAN д/щен ср пород кур 12кг XE;4098,60
12272433;12367295;PRO PLAN DOG Щен/СрП ЧувКож Лос12кг;4098,60
12278095;12366981;PRO PLAN DOG Щен/СрП ЧувПищ Ягн12кг;4098,60
123755525;12375525;PRO PLAN DOG Взр/ВсехП Лайт Кур 14кг XE;4524,85
12272437;12366979;PRO PLAN DOG Взр/КрПАтлет Курица 14кг;4030,29
12294638;12366945;PRO PLAN DOG Взр/КрПАтлет ЧувПищ Ягн 14к;4524,85
12294770;12377392;PRO PLAN DOG Взр/КрПАтл ЧувКож Лос14кг ХЕ;4524,85
12294793;12377394;PRO PLAN DOG Взр/КрМощТел ЧувКож Лос14кг;4524,85
12294786;12377395;PRO PLAN DOG Взр/КрПМощТел ЧувПищ Ягн 14;4524,85
12367260;12272436;PRO PLAN д/вз кр пор мощ тел кур 14кгXE;4030,29
12278096;12366972;PRO PLAN DOG Взр/СрП ЧувПищ Ягн 14кг;4524,85
12272439;12367257;PRO PLAN DOG Взр/СрП Курица 14кг;4030,29
12272547;12392238;PRO PLAN DOG Взр/СрП7+ ЧувКож Лос14кг XE;4524,85
12272557;12392236;PRO PLAN DOG Взр/СрКрП 7+ Курица 14кг XE;4524,85
12367239;12272438;PRO PLAN DOG Взр/СрП ЧувКож Лос 14кг XE;4524,85
